"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Males!!Estimate","Michigan!!Males!!Margin of Error","Michigan!!Percent Males!!Estimate","Michigan!!Percent Males!!Margin of Error","Michigan!!Females!!Estimate","Michigan!!Females!!Margin of Error","Michigan!!Percent Females!!Estimate","Michigan!!Percent Females!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Males!!Estimate","Ohio!!Males!!Margin of Error","Ohio!!Percent Males!!Estimate","Ohio!!Percent Males!!Margin of Error","Ohio!!Females!!Estimate","Ohio!!Females!!Margin of Error","Ohio!!Percent Females!!Estimate","Ohio!!Percent Females!!Margin of Error"
"    Bachelor's degree","1,117,697","±7,190","16.7%","±0.1","534,218","±4,823","16.6%","±0.1","583,479","±4,395","16.8%","±0.1","1,310,995","±7,847","16.7%","±0.1","631,088","±5,200","16.8%","±0.1","679,907","±4,819","16.6%","±0.1"
"    Graduate or professional degree","714,101","±5,820","10.7%","±0.1","346,235","±3,574","10.8%","±0.1","367,866","±3,465","10.6%","±0.1","781,880","±7,748","10.0%","±0.1","374,329","±4,611","9.9%","±0.1","407,551","±4,323","10.0%","±0.1"
"Percent high school graduate or higher","(X)","(X)","89.9%","±0.1","(X)","(X)","89.2%","±0.1","(X)","(X)","90.5%","±0.1","(X)","(X)","89.5%","±0.1","(X)","(X)","88.9%","±0.1","(X)","(X)","90.0%","±0.1"
"Percent bachelor's degree or higher","(X)","(X)","27.4%","±0.2","(X)","(X)","27.3%","±0.2","(X)","(X)","27.5%","±0.2","(X)","(X)","26.7%","±0.2","(X)","(X)","26.7%","±0.2","(X)","(X)","26.6%","±0.2"
"Population 25 to 34 years","1,207,592","±1,025","(X)","(X)","607,047","±794","(X)","(X)","600,545","±655","(X)","(X)","1,469,248","±1,212","(X)","(X)","736,708","±908","(X)","(X)","732,540","±724","(X)","(X)"
"    High school graduate or higher","1,098,199","±2,786","90.9%","±0.2","545,157","±1,831","89.8%","±0.3","553,042","±1,657","92.1%","±0.2","1,340,409","±3,563","91.2%","±0.2","663,791","±2,229","90.1%","±0.3","676,618","±2,102","92.4%","±0.3"
"    Bachelor's degree or higher","376,457","±4,010","31.2%","±0.3","169,857","±2,474","28.0%","±0.4","206,600","±2,448","34.4%","±0.4","473,148","±5,351","32.2%","±0.4","211,826","±3,134","28.8%","±0.4","261,322","±3,287","35.7%","±0.5"
"Population 35 to 44 years","1,188,718","±914","(X)","(X)","589,177","±690","(X)","(X)","599,541","±488","(X)","(X)","1,406,232","±1,084","(X)","(X)","698,368","±838","(X)","(X)","707,864","±817","(X)","(X)"
"    High school graduate or higher","1,085,905","±2,309","91.4%","±0.2","532,045","±1,608","90.3%","±0.2","553,860","±1,455","92.4%","±0.2","1,289,373","±3,253","91.7%","±0.2","631,079","±2,061","90.4%","±0.3","658,294","±1,836","93.0%","±0.2"
"    Bachelor's degree or higher","383,188","±4,134","32.2%","±0.3","172,643","±2,369","29.3%","±0.4","210,545","±2,426","35.1%","±0.4","444,524","±5,046","31.6%","±0.4","201,109","±3,090","28.8%","±0.4","243,415","±2,899","34.4%","±0.4"
"Population 45 to 64 years","2,758,873","±810","(X)","(X)","1,349,544","±629","(X)","(X)","1,409,329","±574","(X)","(X)","3,176,229","±1,291","(X)","(X)","1,550,906","±856","(X)","(X)","1,625,323","±846","(X)","(X)"
"    High school graduate or higher","2,526,242","±3,298","91.6%","±0.1","1,221,173","±2,319","90.5%","±0.2","1,305,069","±1,860","92.6%","±0.1","2,896,462","±4,090","91.2%","±0.1","1,402,733","±2,823","90.4%","±0.2","1,493,729","±2,385","91.9%","±0.1"
"    Bachelor's degree or higher","732,576","±4,627","26.6%","±0.2","355,485","±2,969","26.3%","±0.2","377,091","±2,902","26.8%","±0.2","819,523","±5,607","25.8%","±0.2","400,804","±3,524","25.8%","±0.2","418,719","±3,542","25.8%","±0.2"
"Population 65 years and over","1,527,698","±456","(X)","(X)","673,504","±265","(X)","(X)","854,194","±328","(X)","(X)","1,796,337","±810","(X)","(X)","777,735","±609","(X)","(X)","1,018,602","±535","(X)","(X)"
"    High school graduate or higher","1,296,068","±2,569","84.8%","±0.2","572,135","±1,589","84.9%","±0.2","723,933","±1,917","84.8%","±0.2","1,496,647","±3,156","83.3%","±0.2","649,736","±2,026","83.5%","±0.3","846,911","±2,093","83.1%","±0.2"
"    Bachelor's degree or higher","339,577","±2,860","22.2%","±0.2","182,468","±2,014","27.1%","±0.3","157,109","±1,672","18.4%","±0.2","355,680","±2,760","19.8%","±0.2","191,678","±1,748","24.6%","±0.2","164,002","±1,840","16.1%","±0.2"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","5,459,203","±2,239","(X)","(X)","2,652,785","±1,280","(X)","(X)","2,806,418","±1,319","(X)","(X)","6,652,740","±1,901","(X)","(X)","3,205,721","±1,257","(X)","(X)","3,447,019","±1,127","(X)","(X)"
"        High school graduate or higher","4,975,430","±5,612","91.1%","±0.1","2,401,428","±3,222","90.5%","±0.1","2,574,002","±3,406","91.7%","±0.1","6,017,174","±7,230","90.4%","±0.1","2,883,705","±4,476","90.0%","±0.1","3,133,469","±4,228","90.9%","±0.1"
"        Bachelor's degree or higher","1,541,106","±8,892","28.2%","±0.2","753,151","±5,385","28.4%","±0.2","787,955","±5,087","28.1%","±0.2","1,826,437","±11,538","27.5%","±0.2","885,087","±6,818","27.6%","±0.2","941,350","±6,063","27.3%","±0.2"
"White alone, not Hispanic or Latino","5,300,805","±659","(X)","(X)","2,573,769","±441","(X)","(X)","2,727,036","±389","(X)","(X)","6,521,185","±778","(X)","(X)","3,139,222","±484","(X)","(X)","3,381,963","±507","(X)","(X)"
"    High school graduate or higher","4,859,720","±5,142","91.7%","±0.1","2,345,104","±2,928","91.1%","±0.1","2,514,616","±3,239","92.2%","±0.1","5,917,744","±6,659","90.7%","±0.1","2,835,083","±4,237","90.3%","±0.1","3,082,661","±3,903","91.2%","±0.1"
"    Bachelor's degree or higher","1,511,593","±8,564","28.5%","±0.2","739,436","±5,131","28.7%","±0.2","772,157","±5,019","28.3%","±0.2","1,799,503","±11,203","27.6%","±0.2","872,511","±6,658","27.8%","±0.2","926,992","±5,973","27.4%","±0.2"
"Black alone","850,010","±1,864","(X)","(X)","385,944","±1,173","(X)","(X)","464,066","±1,128","(X)","(X)","871,629","±1,774","(X)","(X)","399,476","±1,167","(X)","(X)","472,153","±1,212","(X)","(X)"
"    High school graduate or higher","719,202","±2,831","84.6%","±0.3","318,084","±1,965","82.4%","±0.4","401,118","±1,898","86.4%","±0.3","733,835","±3,225","84.2%","±0.3","331,138","±1,929","82.9%","±0.5","402,697","±2,046","85.3%","±0.4"
"    Bachelor's degree or higher","142,736","±2,924","16.8%","±0.3","53,383","±1,632","13.8%","±0.4","89,353","±1,977","19.3%","±0.4","140,673","±2,499","16.1%","±0.3","57,274","±1,433","14.3%","±0.4","83,399","±1,939","17.7%","±0.4"
"American Indian or Alaska Native alone","34,198","±741","(X)","(X)","16,619","±489","(X)","(X)","17,579","±595","(X)","(X)","15,256","±767","(X)","(X)","7,897","±530","(X)","(X)","7,359","±498","(X)","(X)"
"    High school graduate or higher","29,024","±718","84.9%","±1.2","13,987","±457","84.2%","±1.3","15,037","±579","85.5%","±1.6","12,559","±727","82.3%","±2.2","6,366","±497","80.6%","±2.8","6,193","±478","84.2%","±2.9"
"    Bachelor's degree or higher","4,556","±374","13.3%","±1.1","2,156","±265","13.0%","±1.5","2,400","±272","13.7%","±1.5","2,402","±294","15.7%","±1.7","1,123","±222","14.2%","±2.5","1,279","±240","17.4%","±2.9"
"Asian alone","176,130","±1,122","(X)","(X)","83,444","±717","(X)","(X)","92,686","±668","(X)","(X)","149,939","±939","(X)","(X)","70,630","±684","(X)","(X)","79,309","±665","(X)","(X)"
"    High school graduate or higher","155,945","±1,385","88.5%","±0.6","75,823","±843","90.9%","±0.7","80,122","±899","86.4%","±0.7","130,884","±1,272","87.3%","±0.7","62,864","±883","89.0%","±0.9","68,020","±828","85.8%","±0.8"
"    Bachelor's degree or higher","110,369","±1,521","62.7%","±0.8","56,755","±927","68.0%","±1.1","53,614","±906","57.8%","±0.9","91,110","±1,647","60.8%","±1.0","47,037","±1,044","66.6%","±1.3","44,073","±918","55.6%","±1.1"
"Native Hawaiian and Other Pacific Islander alone","1,673","±312","(X)","(X)","785","±218","(X)","(X)","888","±200","(X)","(X)","2,083","±279","(X)","(X)","950","±179","(X)","(X)","1,133","±196","(X)","(X)"
"    High school graduate or higher","1,440","±295","86.1%","±4.8","682","±214","86.9%","±8.7","758","±193","85.4%","±5.8","1,737","±274","83.4%","±5.5","790","±163","83.2%","±8.7","947","±204","83.6%","±6.8"
"    Bachelor's degree or higher","472","±228","28.2%","±10.9","274","±182","34.9%","±16.8","198","±118","22.3%","±11.8","492","±129","23.6%","±5.5","205","±84","21.6%","±7.6","287","±94","25.3%","±7.3"
"Some other race alone","60,723","±2,202","(X)","(X)","31,849","±1,397","(X)","(X)","28,874","±1,175","(X)","(X)","54,173","±1,705","(X)","(X)","29,694","±1,063","(X)","(X)","24,479","±981","(X)","(X)"
"    High school graduate or higher","38,269","±1,605","63.0%","±1.6","19,483","±1,017","61.2%","±1.8","18,786","±986","65.1%","±2.2","37,466","±1,545","69.2%","±1.8","19,622","±943","66.1%","±2.4","17,844","±987","72.9%","±2.1"
"    Bachelor's degree or higher","8,131","±617","13.4%","±1.0","3,966","±356","12.5%","±1.2","4,165","±414","14.4%","±1.3","7,610","±717","14.0%","±1.2","3,553","±433","12.0%","±1.3","4,057","±481","16.6%","±1.9"
"Two or more races","100,944","±2,102","(X)","(X)","47,846","±1,364","(X)","(X)","53,098","±1,338","(X)","(X)","102,226","±2,315","(X)","(X)","49,349","±1,461","(X)","(X)","52,877","±1,584","(X)","(X)"
"    High school graduate or higher","87,104","±1,891","86.3%","±0.7","41,023","±1,211","85.7%","±1.0","46,081","±1,309","86.8%","±1.0","89,236","±2,127","87.3%","±0.7","42,854","±1,341","86.8%","±0.9","46,382","±1,510","87.7%","±0.9"
"    Bachelor's degree or higher","24,428","±984","24.2%","±0.9","10,768","±635","22.5%","±1.2","13,660","±674","25.7%","±1.1","24,151","±979","23.6%","±0.9","11,138","±698","22.6%","±1.3","13,013","±704","24.6%","±1.2"
"Hispanic or Latino Origin","235,473","±429","(X)","(X)","119,047","±317","(X)","(X)","116,426","±263","(X)","(X)","202,895","±511","(X)","(X)","104,398","±480","(X)","(X)","98,497","±458","(X)","(X)"
"    High school graduate or higher","166,304","±1,681","70.6%","±0.7","81,906","±1,226","68.8%","±1.0","84,398","±1,000","72.5%","±0.8","149,689","±1,682","73.8%","±0.8","74,112","±1,286","71.0%","±1.2","75,577","±1,013","76.7%","±1.0"
"    Bachelor's degree or higher","39,232","±1,309","16.7%","±0.6","18,381","±837","15.4%","±0.7","20,851","±876","17.9%","±0.7","36,210","±1,339","17.8%","±0.7","16,521","±900","15.8%","±0.9","19,689","±884","20.0%","±0.9"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","29.6%","±0.4","(X)","(X)","26.1%","±0.5","(X)","(X)","33.2%","±0.6","(X)","(X)","28.4%","±0.4","(X)","(X)","25.1%","±0.5","(X)","(X)","31.7%","±0.5"
"    High school graduate (includes equivalency)","(X)","(X)","15.1%","±0.2","(X)","(X)","13.7%","±0.2","(X)","(X)","16.4%","±0.2","(X)","(X)","13.4%","±0.2","(X)","(X)","11.6%","±0.2","(X)","(X)","15.2%","±0.2"
"    Some college or associate's degree","(X)","(X)","11.4%","±0.1","(X)","(X)","9.0%","±0.2","(X)","(X)","13.4%","±0.2","(X)","(X)","11.3%","±0.1","(X)","(X)","8.6%","±0.2","(X)","(X)","13.5%","±0.2"
"    Bachelor's degree or higher","(X)","(X)","4.5%","±0.1","(X)","(X)","4.1%","±0.1","(X)","(X)","4.9%","±0.1","(X)","(X)","3.9%","±0.1","(X)","(X)","3.6%","±0.1","(X)","(X)","4.3%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","35,243","±113","(X)","(X)","42,386","±135","(X)","(X)","28,204","±159","(X)","(X)","35,841","±101","(X)","(X)","42,315","±122","(X)","(X)","29,749","±174","(X)","(X)"
"        Less than high school graduate","19,288","±340","(X)","(X)","22,912","±493","(X)","(X)","14,018","±364","(X)","(X)","20,344","±237","(X)","(X)","24,471","±471","(X)","(X)","15,062","±323","(X)","(X)"
"        High school graduate (includes equivalency)","26,762","±122","(X)","(X)","32,330","±137","(X)","(X)","20,910","±140","(X)","(X)","28,919","±192","(X)","(X)","35,491","±179","(X)","(X)","22,081","±149","(X)","(X)"
"        Some college or associate's degree","31,801","±89","(X)","(X)","41,115","±166","(X)","(X)","25,875","±137","(X)","(X)","32,706","±219","(X)","(X)","41,141","±176","(X)","(X)","27,361","±156","(X)","(X)"
"        Bachelor's degree","49,711","±420","(X)","(X)","62,014","±321","(X)","(X)","40,025","±349","(X)","(X)","50,107","±190","(X)","(X)","61,261","±296","(X)","(X)","40,856","±218","(X)","(X)"
"        Graduate or professional degree","67,420","±430","(X)","(X)","82,635","±807","(X)","(X)","57,187","±507","(X)","(X)","63,821","±435","(X)","(X)","77,680","±806","(X)","(X)","55,571","±371","(X)","(X)"
