"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Male!!Estimate","Michigan!!Male!!Margin of Error","Michigan!!Percent Male!!Estimate","Michigan!!Percent Male!!Margin of Error","Michigan!!Female!!Estimate","Michigan!!Female!!Margin of Error","Michigan!!Percent Female!!Estimate","Michigan!!Percent Female!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Male!!Estimate","Ohio!!Male!!Margin of Error","Ohio!!Percent Male!!Estimate","Ohio!!Percent Male!!Margin of Error","Ohio!!Female!!Estimate","Ohio!!Female!!Margin of Error","Ohio!!Percent Female!!Estimate","Ohio!!Percent Female!!Margin of Error"
"        Some college, no degree","1,591,358","±6,510","23.4%","±0.1","770,787","±4,192","23.4%","±0.1","820,571","±5,057","23.3%","±0.1","1,626,965","±8,184","20.4%","±0.1","785,566","±5,398","20.5%","±0.1","841,399","±6,000","20.3%","±0.1"
"        Associate's degree","643,446","±5,569","9.4%","±0.1","265,283","±3,460","8.1%","±0.1","378,163","±3,622","10.7%","±0.1","691,111","±5,731","8.7%","±0.1","274,927","±3,689","7.2%","±0.1","416,184","±3,961","10.0%","±0.1"
"        Bachelor's degree","1,207,829","±8,685","17.7%","±0.1","576,617","±4,739","17.5%","±0.1","631,212","±5,136","17.9%","±0.1","1,401,609","±8,918","17.6%","±0.1","669,653","±5,753","17.5%","±0.1","731,956","±5,729","17.7%","±0.1"
"        Graduate or professional degree","777,341","±7,098","11.4%","±0.1","373,903","±4,062","11.4%","±0.1","403,438","±4,284","11.5%","±0.1","853,717","±8,524","10.7%","±0.1","399,408","±4,532","10.4%","±0.1","454,309","±5,127","11.0%","±0.1"
"        High school graduate or higher","6,187,290","±6,187","90.8%","±0.1","2,969,278","±3,646","90.2%","±0.1","3,218,012","±4,113","91.4%","±0.1","7,208,399","±7,895","90.4%","±0.1","3,443,081","±4,593","89.8%","±0.1","3,765,318","±5,080","90.9%","±0.1"
"        Bachelor's degree or higher","1,985,170","±13,385","29.1%","±0.2","950,520","±7,136","28.9%","±0.2","1,034,650","±7,444","29.4%","±0.2","2,255,326","±14,701","28.3%","±0.2","1,069,061","±8,312","27.9%","±0.2","1,186,265","±8,369","28.6%","±0.2"
"    Population 25 to 34 years","1,267,775","±1,139","(X)","(X)","642,503","±768","(X)","(X)","625,272","±683","(X)","(X)","1,521,875","±1,263","(X)","(X)","765,892","±940","(X)","(X)","755,983","±809","(X)","(X)"
"        High school graduate or higher","1,166,550","±2,495","92.0%","±0.2","585,192","±1,665","91.1%","±0.2","581,358","±1,526","93.0%","±0.2","1,404,850","±2,717","92.3%","±0.2","700,718","±1,571","91.5%","±0.2","704,132","±1,965","93.1%","±0.2"
"        Bachelor's degree or higher","420,513","±4,935","33.2%","±0.4","194,024","±2,672","30.2%","±0.4","226,489","±2,976","36.2%","±0.5","507,248","±5,768","33.3%","±0.4","230,409","±3,385","30.1%","±0.4","276,839","±3,545","36.6%","±0.5"
"    Population 35 to 44 years","1,165,370","±823","(X)","(X)","578,683","±718","(X)","(X)","586,687","±521","(X)","(X)","1,391,747","±1,385","(X)","(X)","691,887","±1,073","(X)","(X)","699,860","±861","(X)","(X)"
"        High school graduate or higher","1,066,100","±2,701","91.5%","±0.2","524,208","±1,742","90.6%","±0.3","541,892","±1,735","92.4%","±0.3","1,277,909","±3,185","91.8%","±0.2","627,099","±2,234","90.6%","±0.3","650,810","±1,704","93.0%","±0.2"
"        Bachelor's degree or higher","395,899","±4,785","34.0%","±0.4","177,366","±2,388","30.6%","±0.4","218,533","±3,080","37.2%","±0.5","470,757","±5,174","33.8%","±0.4","210,224","±3,233","30.4%","±0.5","260,533","±3,109","37.2%","±0.4"
"    Population 45 to 64 years","2,713,992","±888","(X)","(X)","1,328,513","±684","(X)","(X)","1,385,479","±546","(X)","(X)","3,120,861","±1,509","(X)","(X)","1,524,778","±1,062","(X)","(X)","1,596,083","±978","(X)","(X)"
"        High school graduate or higher","2,494,333","±2,959","91.9%","±0.1","1,207,481","±2,227","90.9%","±0.2","1,286,852","±1,799","92.9%","±0.1","2,856,562","±4,109","91.5%","±0.1","1,382,079","±2,887","90.6%","±0.2","1,474,483","±2,612","92.4%","±0.2"
"        Bachelor's degree or higher","760,566","±5,578","28.0%","±0.2","362,984","±3,665","27.3%","±0.3","397,582","±3,372","28.7%","±0.2","846,066","±6,588","27.1%","±0.2","402,505","±4,125","26.4%","±0.3","443,561","±3,561","27.8%","±0.2"
"    Population 65 years and over","1,666,343","±488","(X)","(X)","743,307","±360","(X)","(X)","923,036","±361","(X)","(X)","1,941,294","±906","(X)","(X)","849,599","±630","(X)","(X)","1,091,695","±565","(X)","(X)"
"        High school graduate or higher","1,460,307","±2,820","87.6%","±0.2","652,397","±1,750","87.8%","±0.2","807,910","±1,860","87.5%","±0.2","1,669,078","±3,346","86.0%","±0.2","733,185","±2,074","86.3%","±0.2","935,893","±2,487","85.7%","±0.2"
"        Bachelor's degree or higher","408,192","±3,544","24.5%","±0.2","216,146","±2,114","29.1%","±0.3","192,046","±2,248","20.8%","±0.2","431,255","±3,718","22.2%","±0.2","225,923","±2,220","26.6%","±0.3","205,332","±2,407","18.8%","±0.2"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","5,519,435","±2,192","(X)","(X)","2,690,238","±1,263","(X)","(X)","2,829,197","±1,342","(X)","(X)","6,689,453","±2,310","(X)","(X)","3,228,278","±1,479","(X)","(X)","3,461,175","±1,475","(X)","(X)"
"        High school graduate or higher","5,078,346","±5,360","92.0%","±0.1","2,458,714","±3,154","91.4%","±0.1","2,619,632","±3,438","92.6%","±0.1","6,108,177","±6,893","91.3%","±0.1","2,931,278","±4,094","90.8%","±0.1","3,176,899","±4,402","91.8%","±0.1"
"        Bachelor's degree or higher","1,655,307","±11,267","30.0%","±0.2","802,845","±6,319","29.8%","±0.2","852,462","±6,016","30.1%","±0.2","1,950,297","±12,516","29.2%","±0.2","929,402","±7,453","28.8%","±0.2","1,020,895","±7,104","29.5%","±0.2"
"    White alone, not Hispanic or Latino","5,346,396","±622","(X)","(X)","2,603,573","±388","(X)","(X)","2,742,823","±398","(X)","(X)","6,541,263","±714","(X)","(X)","3,153,769","±452","(X)","(X)","3,387,494","±413","(X)","(X)"
"        High school graduate or higher","4,947,978","±4,664","92.5%","±0.1","2,395,436","±2,790","92.0%","±0.1","2,552,542","±3,052","93.1%","±0.1","5,992,811","±6,032","91.6%","±0.1","2,874,926","±3,641","91.2%","±0.1","3,117,885","±3,866","92.0%","±0.1"
"        Bachelor's degree or higher","1,620,491","±10,760","30.3%","±0.2","786,701","±6,024","30.2%","±0.2","833,790","±5,827","30.4%","±0.2","1,918,101","±12,252","29.3%","±0.2","914,775","±7,324","29.0%","±0.2","1,003,326","±6,916","29.6%","±0.2"
"    Black alone","873,014","±1,732","(X)","(X)","397,776","±1,091","(X)","(X)","475,238","±1,189","(X)","(X)","911,714","±1,932","(X)","(X)","420,846","±1,234","(X)","(X)","490,868","±1,433","(X)","(X)"
"        High school graduate or higher","751,986","±2,723","86.1%","±0.3","335,943","±1,766","84.5%","±0.4","416,043","±1,744","87.5%","±0.3","782,773","±2,617","85.9%","±0.2","356,686","±1,653","84.8%","±0.3","426,087","±2,447","86.8%","±0.4"
"        Bachelor's degree or higher","152,414","±2,986","17.5%","±0.3","57,014","±1,794","14.3%","±0.4","95,400","±2,168","20.1%","±0.5","156,619","±3,119","17.2%","±0.3","65,866","±1,923","15.7%","±0.5","90,753","±2,115","18.5%","±0.4"
"    American Indian or Alaska Native alone","34,972","±1,102","(X)","(X)","17,352","±703","(X)","(X)","17,620","±672","(X)","(X)","15,986","±966","(X)","(X)","7,894","±612","(X)","(X)","8,092","±697","(X)","(X)"
"        High school graduate or higher","29,878","±1,002","85.4%","±1.1","14,680","±645","84.6%","±1.6","15,198","±641","86.3%","±1.3","12,922","±815","80.8%","±2.3","6,174","±499","78.2%","±3.5","6,748","±610","83.4%","±2.7"
"        Bachelor's degree or higher","4,721","±403","13.5%","±1.0","2,269","±313","13.1%","±1.7","2,452","±271","13.9%","±1.4","2,776","±396","17.4%","±2.1","1,213","±245","15.4%","±2.7","1,563","±286","19.3%","±3.2"
"    Asian alone","204,882","±1,053","(X)","(X)","98,702","±689","(X)","(X)","106,180","±651","(X)","(X)","174,355","±1,137","(X)","(X)","81,606","±837","(X)","(X)","92,749","±899","(X)","(X)"
"        High school graduate or higher","183,228","±1,474","89.4%","±0.6","90,584","±853","91.8%","±0.6","92,644","±922","87.3%","±0.7","152,251","±1,416","87.3%","±0.7","73,127","±857","89.6%","±0.7","79,124","±1,070","85.3%","±0.9"
"        Bachelor's degree or higher","131,484","±1,584","64.2%","±0.7","68,913","±995","69.8%","±0.9","62,571","±942","58.9%","±0.8","105,950","±1,842","60.8%","±1.1","54,008","±1,021","66.2%","±1.3","51,942","±1,232","56.0%","±1.3"
"    Native Hawaiian and Other Pacific Islander alone","2,215","±285","(X)","(X)","984","±183","(X)","(X)","1,231","±219","(X)","(X)","2,328","±291","(X)","(X)","1,020","±215","(X)","(X)","1,308","±210","(X)","(X)"
"        High school graduate or higher","1,805","±241","81.5%","±4.8","867","±163","88.1%","±6.3","938","±199","76.2%","±7.7","1,902","±261","81.7%","±5.4","849","±176","83.2%","±7.3","1,053","±199","80.5%","±7.9"
"        Bachelor's degree or higher","430","±122","19.4%","±5.4","185","±65","18.8%","±6.3","245","±98","19.9%","±7.8","671","±147","28.8%","±5.7","273","±94","26.8%","±8.5","398","±119","30.4%","±7.2"
"    Some other race alone","66,387","±1,973","(X)","(X)","34,548","±1,143","(X)","(X)","31,839","±1,190","(X)","(X)","62,939","±2,310","(X)","(X)","34,173","±1,322","(X)","(X)","28,766","±1,358","(X)","(X)"
"        High school graduate or higher","42,795","±1,404","64.5%","±1.4","21,511","±799","62.3%","±1.8","21,284","±1,019","66.8%","±1.9","45,072","±1,858","71.6%","±1.6","23,862","±1,105","69.8%","±2.0","21,210","±1,167","73.7%","±2.0"
"        Bachelor's degree or higher","10,306","±644","15.5%","±1.0","5,467","±464","15.8%","±1.3","4,839","±364","15.2%","±1.1","9,466","±866","15.0%","±1.3","4,588","±501","13.4%","±1.5","4,878","±584","17.0%","±1.9"
"    Two or more races","112,575","±2,474","(X)","(X)","53,406","±1,471","(X)","(X)","59,169","±1,568","(X)","(X)","119,002","±2,567","(X)","(X)","58,339","±1,849","(X)","(X)","60,663","±1,858","(X)","(X)"
"        High school graduate or higher","99,252","±2,272","88.2%","±0.7","46,979","±1,435","88.0%","±0.9","52,273","±1,438","88.3%","±1.1","105,302","±2,428","88.5%","±0.7","51,105","±1,731","87.6%","±0.9","54,197","±1,718","89.3%","±0.9"
"        Bachelor's degree or higher","30,508","±1,176","27.1%","±0.8","13,827","±782","25.9%","±1.2","16,681","±737","28.2%","±1.0","29,547","±1,445","24.8%","±1.0","13,711","±986","23.5%","±1.5","15,836","±935","26.1%","±1.3"
"    Hispanic or Latino Origin","258,946","±417","(X)","(X)","131,200","±375","(X)","(X)","127,746","±310","(X)","(X)","229,878","±620","(X)","(X)","118,107","±547","(X)","(X)","111,771","±488","(X)","(X)"
"        High school graduate or higher","188,319","±1,817","72.7%","±0.7","92,323","±1,219","70.4%","±0.9","95,996","±1,225","75.1%","±0.9","175,173","±1,943","76.2%","±0.8","87,299","±1,255","73.9%","±1.0","87,874","±1,252","78.6%","±1.0"
"        Bachelor's degree or higher","47,772","±1,537","18.4%","±0.6","22,517","±988","17.2%","±0.7","25,255","±884","19.8%","±0.7","44,043","±1,669","19.2%","±0.7","20,054","±1,097","17.0%","±0.9","23,989","±974","21.5%","±0.9"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","27.9%","±0.4","(X)","(X)","24.3%","±0.5","(X)","(X)","31.7%","±0.6","(X)","(X)","27.2%","±0.4","(X)","(X)","23.7%","±0.5","(X)","(X)","30.7%","±0.4"
"    High school graduate (includes equivalency)","(X)","(X)","14.4%","±0.2","(X)","(X)","12.7%","±0.2","(X)","(X)","16.1%","±0.2","(X)","(X)","13.3%","±0.2","(X)","(X)","11.3%","±0.2","(X)","(X)","15.2%","±0.2"
"    Some college or associate's degree","(X)","(X)","10.2%","±0.2","(X)","(X)","8.2%","±0.2","(X)","(X)","12.0%","±0.2","(X)","(X)","10.5%","±0.2","(X)","(X)","8.0%","±0.2","(X)","(X)","12.6%","±0.2"
"    Bachelor's degree or higher","(X)","(X)","4.2%","±0.1","(X)","(X)","3.8%","±0.1","(X)","(X)","4.5%","±0.1","(X)","(X)","3.8%","±0.1","(X)","(X)","3.4%","±0.1","(X)","(X)","4.1%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","39,351","±177","(X)","(X)","47,664","±307","(X)","(X)","31,474","±104","(X)","(X)","39,722","±164","(X)","(X)","47,147","±265","(X)","(X)","32,121","±107","(X)","(X)"
"        Less than high school graduate","21,996","±254","(X)","(X)","26,492","±372","(X)","(X)","16,517","±342","(X)","(X)","22,881","±331","(X)","(X)","27,785","±590","(X)","(X)","16,905","±328","(X)","(X)"
"        High school graduate (includes equivalency)","30,234","±111","(X)","(X)","36,280","±272","(X)","(X)","23,085","±212","(X)","(X)","31,277","±113","(X)","(X)","38,701","±257","(X)","(X)","24,197","±227","(X)","(X)"
"        Some college or associate's degree","35,492","±183","(X)","(X)","44,845","±322","(X)","(X)","29,029","±262","(X)","(X)","36,098","±175","(X)","(X)","44,753","±267","(X)","(X)","30,274","±144","(X)","(X)"
"        Bachelor's degree","53,617","±265","(X)","(X)","67,863","±643","(X)","(X)","43,125","±368","(X)","(X)","53,703","±254","(X)","(X)","65,129","±576","(X)","(X)","45,039","±371","(X)","(X)"
"        Graduate or professional degree","72,470","±544","(X)","(X)","90,046","±834","(X)","(X)","61,285","±592","(X)","(X)","69,233","±438","(X)","(X)","83,408","±708","(X)","(X)","60,914","±449","(X)","(X)"
