"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Male!!Estimate","Michigan!!Male!!Margin of Error","Michigan!!Percent Male!!Estimate","Michigan!!Percent Male!!Margin of Error","Michigan!!Female!!Estimate","Michigan!!Female!!Margin of Error","Michigan!!Percent Female!!Estimate","Michigan!!Percent Female!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Male!!Estimate","Ohio!!Male!!Margin of Error","Ohio!!Percent Male!!Estimate","Ohio!!Percent Male!!Margin of Error","Ohio!!Female!!Estimate","Ohio!!Female!!Margin of Error","Ohio!!Percent Female!!Estimate","Ohio!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","1,661,773","±9,934","31.1%","±0.2","804,188","±5,662","30.9%","±0.2","857,585","±6,070","31.4%","±0.2","1,951,325","±12,948","29.9%","±0.2","922,372","±7,588","29.3%","±0.2","1,028,953","±6,933","30.4%","±0.2"
"    Black alone","871,049","±2,810","(X)","(X)","398,709","±1,719","(X)","(X)","472,340","±1,974","(X)","(X)","913,058","±3,395","(X)","(X)","422,873","±2,273","(X)","(X)","490,185","±2,115","(X)","(X)"
"        High school graduate or higher","756,719","±3,633","86.9%","±0.3","339,045","±2,359","85.0%","±0.5","417,674","±2,294","88.4%","±0.4","788,843","±4,120","86.4%","±0.3","359,837","±2,696","85.1%","±0.4","429,006","±2,777","87.5%","±0.4"
"        Bachelor's degree or higher","156,095","±3,280","17.9%","±0.4","57,874","±2,064","14.5%","±0.5","98,221","±2,372","20.8%","±0.5","164,693","±3,582","18.0%","±0.4","68,829","±2,242","16.3%","±0.5","95,864","±2,390","19.6%","±0.5"
"    American Indian or Alaska Native alone","33,553","±935","(X)","(X)","16,349","±703","(X)","(X)","17,204","±561","(X)","(X)","14,388","±782","(X)","(X)","7,060","±578","(X)","(X)","7,328","±567","(X)","(X)"
"        High school graduate or higher","28,795","±875","85.8%","±1.3","13,934","±683","85.2%","±1.7","14,861","±549","86.4%","±1.6","11,874","±696","82.5%","±2.4","5,664","±516","80.2%","±3.4","6,210","±529","84.7%","±2.9"
"        Bachelor's degree or higher","4,526","±430","13.5%","±1.2","2,073","±267","12.7%","±1.5","2,453","±298","14.3%","±1.6","2,728","±417","19.0%","±2.8","1,126","±247","15.9%","±3.4","1,602","±301","21.9%","±3.7"
"    Asian alone","209,410","±1,254","(X)","(X)","101,542","±735","(X)","(X)","107,868","±859","(X)","(X)","179,505","±1,657","(X)","(X)","84,851","±1,042","(X)","(X)","94,654","±1,225","(X)","(X)"
"        High school graduate or higher","186,767","±1,783","89.2%","±0.6","92,481","±1,017","91.1%","±0.7","94,286","±1,185","87.4%","±0.8","156,066","±2,156","86.9%","±1.0","75,636","±1,175","89.1%","±1.0","80,430","±1,566","85.0%","±1.2"
"        Bachelor's degree or higher","134,589","±1,956","64.3%","±0.8","70,285","±1,181","69.2%","±1.0","64,304","±1,193","59.6%","±1.0","108,602","±2,409","60.5%","±1.2","55,605","±1,409","65.5%","±1.5","52,997","±1,431","56.0%","±1.3"
"    Native Hawaiian and Other Pacific Islander alone","2,322","±341","(X)","(X)","1,102","±217","(X)","(X)","1,220","±230","(X)","(X)","2,374","±360","(X)","(X)","1,063","±223","(X)","(X)","1,311","±263","(X)","(X)"
"        High school graduate or higher","1,885","±292","81.2%","±5.3","956","±191","86.8%","±7.1","929","±209","76.1%","±9.3","1,988","±336","83.7%","±5.2","892","±199","83.9%","±8.3","1,096","±259","83.6%","±8.4"
"        Bachelor's degree or higher","513","±135","22.1%","±5.5","273","±89","24.8%","±7.3","240","±115","19.7%","±9.4","686","±199","28.9%","±6.7","363","±142","34.1%","±9.5","323","±143","24.6%","±9.1"
"    Some other race alone","78,527","±4,254","(X)","(X)","37,971","±2,016","(X)","(X)","40,556","±3,030","(X)","(X)","73,578","±3,046","(X)","(X)","38,291","±1,764","(X)","(X)","35,287","±2,106","(X)","(X)"
"        High school graduate or higher","54,598","±3,578","69.5%","±1.9","25,344","±1,836","66.7%","±2.2","29,254","±2,596","72.1%","±2.9","53,830","±2,842","73.2%","±1.8","27,308","±1,885","71.3%","±2.5","26,522","±1,841","75.2%","±2.5"
"        Bachelor's degree or higher","15,884","±2,182","20.2%","±2.3","8,136","±1,279","21.4%","±2.7","7,748","±1,464","19.1%","±3.2","13,040","±1,467","17.7%","±1.8","6,143","±806","16.0%","±2.0","6,897","±1,216","19.5%","±2.9"
"    Two or more races","162,992","±3,891","(X)","(X)","77,373","±2,331","(X)","(X)","85,619","±2,626","(X)","(X)","166,060","±3,692","(X)","(X)","79,924","±2,770","(X)","(X)","86,136","±2,650","(X)","(X)"
"        High school graduate or higher","144,728","±3,846","88.8%","±0.7","67,800","±2,255","87.6%","±1.1","76,928","±2,634","89.8%","±0.9","147,830","±3,649","89.0%","±1.0","70,314","±2,757","88.0%","±1.4","77,516","±2,366","90.0%","±1.0"
"        Bachelor's degree or higher","47,462","±2,260","29.1%","±1.2","20,846","±1,417","26.9%","±1.7","26,616","±1,540","31.1%","±1.5","43,896","±2,089","26.4%","±1.1","20,137","±1,514","25.2%","±1.6","23,759","±1,516","27.6%","±1.4"
"    Hispanic or Latino Origin","267,726","±430","(X)","(X)","135,776","±357","(X)","(X)","131,950","±329","(X)","(X)","239,629","±582","(X)","(X)","123,070","±634","(X)","(X)","116,559","±496","(X)","(X)"
"        High school graduate or higher","200,130","±1,774","74.8%","±0.7","98,018","±1,158","72.2%","±0.8","102,112","±1,055","77.4%","±0.8","185,263","±2,099","77.3%","±0.8","92,000","±1,362","74.8%","±1.1","93,263","±1,196","80.0%","±0.9"
"        Bachelor's degree or higher","55,144","±1,827","20.6%","±0.7","25,855","±1,165","19.0%","±0.9","29,289","±1,180","22.2%","±0.9","50,322","±1,916","21.0%","±0.8","23,081","±1,212","18.8%","±1.0","27,241","±1,178","23.4%","±1.0"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","27.6%","±0.5","(X)","(X)","24.4%","±0.6","(X)","(X)","31.1%","±0.7","(X)","(X)","27.3%","±0.5","(X)","(X)","23.8%","±0.6","(X)","(X)","30.8%","±0.6"
"    High school graduate (includes equivalency)","(X)","(X)","14.3%","±0.2","(X)","(X)","12.3%","±0.2","(X)","(X)","16.2%","±0.3","(X)","(X)","13.2%","±0.2","(X)","(X)","11.3%","±0.2","(X)","(X)","15.1%","±0.3"
"    Some college or associate's degree","(X)","(X)","9.9%","±0.2","(X)","(X)","7.9%","±0.2","(X)","(X)","11.6%","±0.2","(X)","(X)","10.3%","±0.2","(X)","(X)","7.7%","±0.2","(X)","(X)","12.6%","±0.3"
"    Bachelor's degree or higher","(X)","(X)","4.1%","±0.1","(X)","(X)","3.8%","±0.2","(X)","(X)","4.4%","±0.2","(X)","(X)","3.8%","±0.1","(X)","(X)","3.5%","±0.1","(X)","(X)","4.2%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","40,538","±139","(X)","(X)","48,900","±313","(X)","(X)","32,463","±182","(X)","(X)","40,661","±129","(X)","(X)","48,014","±288","(X)","(X)","33,576","±164","(X)","(X)"
"        Less than high school graduate","23,129","±450","(X)","(X)","27,494","±636","(X)","(X)","17,203","±412","(X)","(X)","24,237","±439","(X)","(X)","29,569","±787","(X)","(X)","17,805","±458","(X)","(X)"
"        High school graduate (includes equivalency)","30,900","±130","(X)","(X)","37,186","±290","(X)","(X)","23,925","±297","(X)","(X)","32,046","±151","(X)","(X)","39,390","±341","(X)","(X)","25,227","±182","(X)","(X)"
"        Some college or associate's degree","36,313","±184","(X)","(X)","45,610","±380","(X)","(X)","30,149","±179","(X)","(X)","36,940","±172","(X)","(X)","45,678","±342","(X)","(X)","31,035","±153","(X)","(X)"
"        Bachelor's degree","54,452","±305","(X)","(X)","69,088","±804","(X)","(X)","44,177","±444","(X)","(X)","54,403","±310","(X)","(X)","66,641","±645","(X)","(X)","45,669","±391","(X)","(X)"
"        Graduate or professional degree","72,730","±626","(X)","(X)","90,651","±812","(X)","(X)","61,613","±608","(X)","(X)","70,412","±479","(X)","(X)","83,572","±905","(X)","(X)","62,136","±434","(X)","(X)"
