"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Male!!Estimate","Michigan!!Male!!Margin of Error","Michigan!!Percent Male!!Estimate","Michigan!!Percent Male!!Margin of Error","Michigan!!Female!!Estimate","Michigan!!Female!!Margin of Error","Michigan!!Percent Female!!Estimate","Michigan!!Percent Female!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Male!!Estimate","Ohio!!Male!!Margin of Error","Ohio!!Percent Male!!Estimate","Ohio!!Percent Male!!Margin of Error","Ohio!!Female!!Estimate","Ohio!!Female!!Margin of Error","Ohio!!Percent Female!!Estimate","Ohio!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","752,925","±5,311","27.5%","±0.2","360,739","±3,355","26.9%","±0.3","392,186","±3,349","28.1%","±0.2","839,762","±6,316","26.7%","±0.2","404,027","±3,902","26.3%","±0.3","435,735","±3,878","27.1%","±0.2"
"    Population 65 years and over","1,620,944","±520","(X)","(X)","720,494","±371","(X)","(X)","900,450","±361","(X)","(X)","1,892,861","±798","(X)","(X)","825,233","±541","(X)","(X)","1,067,628","±526","(X)","(X)"
"        High school graduate or higher","1,406,267","±2,507","86.8%","±0.2","625,632","±1,511","86.8%","±0.2","780,635","±1,968","86.7%","±0.2","1,612,459","±2,795","85.2%","±0.1","705,383","±1,854","85.5%","±0.2","907,076","±2,207","85.0%","±0.2"
"        Bachelor's degree or higher","385,033","±3,395","23.8%","±0.2","204,487","±1,939","28.4%","±0.3","180,546","±2,325","20.1%","±0.3","406,122","±3,293","21.5%","±0.2","214,844","±2,133","26.0%","±0.3","191,278","±2,262","17.9%","±0.2"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","5,499,840","±2,571","(X)","(X)","2,678,264","±1,450","(X)","(X)","2,821,576","±1,520","(X)","(X)","6,678,431","±2,106","(X)","(X)","3,221,236","±1,419","(X)","(X)","3,457,195","±1,266","(X)","(X)"
"        High school graduate or higher","5,048,042","±5,410","91.8%","±0.1","2,441,961","±3,366","91.2%","±0.1","2,606,081","±3,659","92.4%","±0.1","6,079,469","±6,798","91.0%","±0.1","2,915,513","±4,310","90.5%","±0.1","3,163,956","±3,771","91.5%","±0.1"
"        Bachelor's degree or higher","1,618,761","±9,563","29.4%","±0.2","786,873","±5,175","29.4%","±0.2","831,888","±5,719","29.5%","±0.2","1,911,097","±12,962","28.6%","±0.2","915,230","±7,204","28.4%","±0.2","995,867","±6,824","28.8%","±0.2"
"    White alone, not Hispanic or Latino","5,331,795","±683","(X)","(X)","2,594,088","±460","(X)","(X)","2,737,707","±399","(X)","(X)","6,535,882","±787","(X)","(X)","3,149,450","±546","(X)","(X)","3,386,432","±411","(X)","(X)"
"        High school graduate or higher","4,922,845","±4,878","92.3%","±0.1","2,380,955","±3,135","91.8%","±0.1","2,541,890","±3,254","92.8%","±0.1","5,969,552","±6,097","91.3%","±0.1","2,861,880","±3,977","90.9%","±0.1","3,107,672","±3,431","91.8%","±0.1"
"        Bachelor's degree or higher","1,586,083","±9,220","29.7%","±0.2","771,696","±4,982","29.7%","±0.2","814,387","±5,553","29.7%","±0.2","1,880,995","±12,427","28.8%","±0.2","901,279","±7,029","28.6%","±0.2","979,716","±6,481","28.9%","±0.2"
"    Black alone","864,294","±1,604","(X)","(X)","393,347","±1,119","(X)","(X)","470,947","±1,046","(X)","(X)","897,184","±2,063","(X)","(X)","413,216","±1,257","(X)","(X)","483,968","±1,503","(X)","(X)"
"        High school graduate or higher","738,644","±3,114","85.5%","±0.3","327,669","±2,043","83.3%","±0.4","410,975","±1,961","87.3%","±0.4","765,011","±2,817","85.3%","±0.3","347,868","±1,864","84.2%","±0.4","417,143","±2,140","86.2%","±0.4"
"        Bachelor's degree or higher","148,834","±2,579","17.2%","±0.3","54,663","±1,674","13.9%","±0.4","94,171","±1,887","20.0%","±0.4","151,357","±3,269","16.9%","±0.4","64,372","±1,940","15.6%","±0.5","86,985","±2,206","18.0%","±0.5"
"    American Indian or Alaska Native alone","34,362","±1,081","(X)","(X)","16,946","±664","(X)","(X)","17,416","±676","(X)","(X)","16,188","±849","(X)","(X)","8,015","±611","(X)","(X)","8,173","±534","(X)","(X)"
"        High school graduate or higher","29,282","±983","85.2%","±1.2","14,343","±625","84.6%","±1.6","14,939","±643","85.8%","±1.6","13,137","±759","81.2%","±2.2","6,381","±566","79.6%","±2.9","6,756","±507","82.7%","±2.9"
"        Bachelor's degree or higher","4,855","±421","14.1%","±1.1","2,425","±299","14.3%","±1.6","2,430","±259","14.0%","±1.3","2,710","±361","16.7%","±2.0","1,205","±239","15.0%","±2.8","1,505","±294","18.4%","±3.2"
"    Asian alone","198,146","±1,194","(X)","(X)","95,085","±772","(X)","(X)","103,061","±663","(X)","(X)","167,840","±1,287","(X)","(X)","78,310","±830","(X)","(X)","89,530","±765","(X)","(X)"
"        High school graduate or higher","176,901","±1,519","89.3%","±0.5","86,877","±925","91.4%","±0.6","90,024","±910","87.4%","±0.7","147,029","±1,488","87.6%","±0.6","70,336","±946","89.8%","±0.7","76,693","±920","85.7%","±0.8"
"        Bachelor's degree or higher","126,319","±1,756","63.8%","±0.8","65,804","±1,028","69.2%","±1.0","60,515","±1,099","58.7%","±1.0","102,225","±1,661","60.9%","±0.9","52,212","±945","66.7%","±1.1","50,013","±1,112","55.9%","±1.2"
"    Native Hawaiian and Other Pacific Islander alone","1,938","±243","(X)","(X)","786","±172","(X)","(X)","1,152","±194","(X)","(X)","2,102","±301","(X)","(X)","1,020","±224","(X)","(X)","1,082","±233","(X)","(X)"
"        High school graduate or higher","1,623","±232","83.7%","±5.3","702","±154","89.3%","±5.6","921","±193","79.9%","±7.4","1,808","±296","86.0%","±4.8","900","±232","88.2%","±7.4","908","±201","83.9%","±5.8"
"        Bachelor's degree or higher","399","±118","20.6%","±5.9","164","±62","20.9%","±7.7","235","±107","20.4%","±8.7","616","±177","29.3%","±7.4","207","±79","20.3%","±8.2","409","±150","37.8%","±9.5"
"    Some other race alone","65,616","±2,410","(X)","(X)","34,225","±1,477","(X)","(X)","31,391","±1,332","(X)","(X)","60,742","±2,108","(X)","(X)","33,402","±1,355","(X)","(X)","27,340","±1,219","(X)","(X)"
"        High school graduate or higher","41,766","±1,715","63.7%","±1.6","20,978","±1,062","61.3%","±2.0","20,788","±1,067","66.2%","±1.9","43,238","±1,755","71.2%","±1.8","22,946","±1,116","68.7%","±2.2","20,292","±1,048","74.2%","±2.1"
"        Bachelor's degree or higher","9,785","±793","14.9%","±1.2","4,836","±482","14.1%","±1.4","4,949","±502","15.8%","±1.5","9,174","±860","15.1%","±1.3","4,518","±492","13.5%","±1.4","4,656","±567","17.0%","±2.0"
"    Two or more races","108,019","±2,301","(X)","(X)","51,441","±1,554","(X)","(X)","56,578","±1,456","(X)","(X)","114,598","±2,713","(X)","(X)","56,576","±1,669","(X)","(X)","58,022","±1,706","(X)","(X)"
"        High school graduate or higher","94,421","±2,012","87.4%","±0.7","44,659","±1,370","86.8%","±1.0","49,762","±1,358","88.0%","±0.8","101,233","±2,458","88.3%","±0.7","49,639","±1,522","87.7%","±1.0","51,594","±1,603","88.9%","±0.9"
"        Bachelor's degree or higher","28,099","±1,216","26.0%","±1.0","12,851","±716","25.0%","±1.2","15,248","±842","27.0%","±1.3","28,391","±1,187","24.8%","±0.9","13,340","±818","23.6%","±1.4","15,051","±798","25.9%","±1.1"
"    Hispanic or Latino Origin","251,532","±371","(X)","(X)","127,429","±302","(X)","(X)","124,103","±288","(X)","(X)","221,618","±660","(X)","(X)","114,052","±535","(X)","(X)","107,566","±445","(X)","(X)"
"        High school graduate or higher","180,634","±1,892","71.8%","±0.7","88,651","±1,325","69.6%","±1.0","91,983","±1,087","74.1%","±0.9","167,219","±1,811","75.5%","±0.8","83,127","±1,195","72.9%","±1.0","84,092","±977","78.2%","±0.8"
"        Bachelor's degree or higher","44,400","±1,450","17.7%","±0.6","20,682","±966","16.2%","±0.8","23,718","±783","19.1%","±0.6","41,347","±1,677","18.7%","±0.8","19,029","±1,104","16.7%","±1.0","22,318","±961","20.7%","±0.9"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","28.5%","±0.4","(X)","(X)","25.2%","±0.6","(X)","(X)","32.0%","±0.5","(X)","(X)","28.0%","±0.4","(X)","(X)","24.6%","±0.4","(X)","(X)","31.3%","±0.6"
"    High school graduate (includes equivalency)","(X)","(X)","14.6%","±0.2","(X)","(X)","13.0%","±0.2","(X)","(X)","16.2%","±0.2","(X)","(X)","13.4%","±0.1","(X)","(X)","11.4%","±0.2","(X)","(X)","15.4%","±0.2"
"    Some college or associate's degree","(X)","(X)","10.6%","±0.1","(X)","(X)","8.4%","±0.2","(X)","(X)","12.4%","±0.2","(X)","(X)","10.8%","±0.2","(X)","(X)","8.3%","±0.2","(X)","(X)","12.9%","±0.2"
"    Bachelor's degree or higher","(X)","(X)","4.3%","±0.1","(X)","(X)","3.9%","±0.1","(X)","(X)","4.7%","±0.2","(X)","(X)","3.8%","±0.1","(X)","(X)","3.4%","±0.1","(X)","(X)","4.2%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","37,673","±221","(X)","(X)","46,091","±260","(X)","(X)","30,692","±106","(X)","(X)","38,303","±187","(X)","(X)","45,676","±238","(X)","(X)","31,487","±90","(X)","(X)"
"        Less than high school graduate","21,220","±244","(X)","(X)","25,775","±357","(X)","(X)","15,622","±386","(X)","(X)","21,907","±243","(X)","(X)","26,747","±343","(X)","(X)","16,145","±320","(X)","(X)"
"        High school graduate (includes equivalency)","29,081","±181","(X)","(X)","35,274","±212","(X)","(X)","22,279","±198","(X)","(X)","30,708","±108","(X)","(X)","37,345","±194","(X)","(X)","23,561","±205","(X)","(X)"
"        Some college or associate's degree","34,301","±216","(X)","(X)","43,309","±330","(X)","(X)","27,738","±185","(X)","(X)","35,125","±152","(X)","(X)","42,800","±348","(X)","(X)","29,434","±227","(X)","(X)"
"        Bachelor's degree","52,501","±240","(X)","(X)","65,799","±693","(X)","(X)","41,786","±241","(X)","(X)","52,656","±256","(X)","(X)","64,106","±337","(X)","(X)","43,242","±421","(X)","(X)"
"        Graduate or professional degree","71,049","±489","(X)","(X)","87,591","±927","(X)","(X)","60,148","±534","(X)","(X)","67,468","±430","(X)","(X)","81,613","±890","(X)","(X)","59,111","±474","(X)","(X)"
