"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Male!!Estimate","Michigan!!Male!!Margin of Error","Michigan!!Percent Male!!Estimate","Michigan!!Percent Male!!Margin of Error","Michigan!!Female!!Estimate","Michigan!!Female!!Margin of Error","Michigan!!Percent Female!!Estimate","Michigan!!Percent Female!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Male!!Estimate","Ohio!!Male!!Margin of Error","Ohio!!Percent Male!!Estimate","Ohio!!Percent Male!!Margin of Error","Ohio!!Female!!Estimate","Ohio!!Female!!Margin of Error","Ohio!!Percent Female!!Estimate","Ohio!!Percent Female!!Margin of Error"
"        Bachelor's degree or higher","1,752,285","±11,779","32.1%","±0.2","848,766","±6,208","31.6%","±0.2","903,519","±6,752","32.7%","±0.2","2,073,121","±14,745","31.3%","±0.2","986,011","±8,201","30.5%","±0.3","1,087,110","±7,854","32.1%","±0.2"
"    White alone, not Hispanic or Latino","5,336,776","±2,795","(X)","(X)","2,630,763","±1,307","(X)","(X)","2,706,013","±1,898","(X)","(X)","6,518,466","±2,471","(X)","(X)","3,178,754","±1,625","(X)","(X)","3,339,712","±1,449","(X)","(X)"
"        High school graduate or higher","4,982,017","±5,616","93.4%","±0.1","2,441,804","±3,178","92.8%","±0.1","2,540,213","±3,755","93.9%","±0.1","6,043,346","±6,728","92.7%","±0.1","2,931,113","±4,055","92.2%","±0.1","3,112,233","±4,411","93.2%","±0.1"
"        Bachelor's degree or higher","1,725,286","±11,367","32.3%","±0.2","836,383","±6,039","31.8%","±0.2","888,903","±6,527","32.8%","±0.2","2,050,101","±14,458","31.5%","±0.2","975,672","±7,972","30.7%","±0.2","1,074,429","±7,833","32.2%","±0.2"
"    Black alone","881,615","±2,570","(X)","(X)","406,001","±1,683","(X)","(X)","475,614","±1,797","(X)","(X)","922,703","±3,344","(X)","(X)","431,331","±1,959","(X)","(X)","491,372","±2,400","(X)","(X)"
"        High school graduate or higher","772,785","±3,496","87.7%","±0.3","349,442","±2,512","86.1%","±0.5","423,343","±2,321","89.0%","±0.4","804,250","±4,193","87.2%","±0.3","371,577","±2,563","86.1%","±0.4","432,673","±3,009","88.1%","±0.4"
"        Bachelor's degree or higher","164,559","±3,354","18.7%","±0.4","62,250","±1,871","15.3%","±0.5","102,309","±2,639","21.5%","±0.6","177,647","±3,452","19.3%","±0.4","72,730","±2,551","16.9%","±0.6","104,917","±2,444","21.4%","±0.5"
"    American Indian or Alaska Native alone","30,257","±984","(X)","(X)","14,708","±603","(X)","(X)","15,549","±604","(X)","(X)","11,768","±778","(X)","(X)","6,489","±566","(X)","(X)","5,279","±451","(X)","(X)"
"        High school graduate or higher","25,360","±827","83.8%","±1.4","12,046","±537","81.9%","±2.1","13,314","±543","85.6%","±1.7","9,198","±685","78.2%","±3.5","5,000","±509","77.1%","±4.8","4,198","±429","79.5%","±3.6"
"        Bachelor's degree or higher","4,071","±363","13.5%","±1.1","1,639","±195","11.1%","±1.3","2,432","±289","15.6%","±1.8","1,658","±269","14.1%","±2.1","859","±190","13.2%","±2.7","799","±175","15.1%","±3.1"
"    Asian alone","218,814","±1,612","(X)","(X)","107,621","±972","(X)","(X)","111,193","±1,047","(X)","(X)","191,860","±1,604","(X)","(X)","92,205","±1,029","(X)","(X)","99,655","±1,159","(X)","(X)"
"        High school graduate or higher","196,366","±1,867","89.7%","±0.5","98,543","±1,140","91.6%","±0.7","97,823","±1,303","88.0%","±0.7","165,257","±2,068","86.1%","±0.8","81,117","±1,188","88.0%","±0.9","84,140","±1,534","84.4%","±1.0"
"        Bachelor's degree or higher","142,909","±2,046","65.3%","±0.9","75,459","±1,219","70.1%","±1.1","67,450","±1,411","60.7%","±1.1","116,192","±2,614","60.6%","±1.2","59,695","±1,522","64.7%","±1.5","56,497","±1,469","56.7%","±1.3"
"    Native Hawaiian and Other Pacific Islander alone","2,087","±259","(X)","(X)","1,158","±194","(X)","(X)","929","±177","(X)","(X)","2,577","±454","(X)","(X)","1,255","±342","(X)","(X)","1,322","±242","(X)","(X)"
"        High school graduate or higher","1,767","±217","84.7%","±6.7","1,002","±180","86.5%","±6.1","765","±137","82.3%","±12.8","2,239","±430","86.9%","±5.3","1,103","±354","87.9%","±8.1","1,136","±231","85.9%","±7.9"
"        Bachelor's degree or higher","725","±184","34.7%","±7.8","401","±128","34.6%","±9.4","324","±122","34.9%","±12.1","758","±262","29.4%","±7.2","478","±252","38.1%","±13.1","280","±108","21.2%","±7.9"
"    Some other race alone","92,846","±3,158","(X)","(X)","47,448","±1,684","(X)","(X)","45,398","±2,019","(X)","(X)","91,440","±2,928","(X)","(X)","47,902","±1,874","(X)","(X)","43,538","±1,684","(X)","(X)"
"        High school graduate or higher","67,213","±2,586","72.4%","±1.4","33,670","±1,507","71.0%","±1.8","33,543","±1,723","73.9%","±1.9","67,606","±2,609","73.9%","±1.4","34,046","±1,586","71.1%","±1.8","33,560","±1,645","77.1%","±1.9"
"        Bachelor's degree or higher","19,410","±1,332","20.9%","±1.2","10,294","±950","21.7%","±1.7","9,116","±858","20.1%","±1.7","17,009","±1,138","18.6%","±1.2","8,062","±680","16.8%","±1.4","8,947","±795","20.5%","±1.7"
"    Two or more races","261,726","±4,277","(X)","(X)","128,906","±2,229","(X)","(X)","132,820","±3,170","(X)","(X)","261,412","±4,619","(X)","(X)","126,716","±2,779","(X)","(X)","134,696","±3,283","(X)","(X)"
"        High school graduate or higher","229,515","±4,063","87.7%","±0.5","110,950","±2,253","86.1%","±0.8","118,565","±3,025","89.3%","±0.6","230,833","±4,554","88.3%","±0.7","110,575","±2,637","87.3%","±0.8","120,258","±3,079","89.3%","±0.8"
"        Bachelor's degree or higher","76,392","±2,283","29.2%","±0.8","34,753","±1,381","27.0%","±1.0","41,639","±1,693","31.3%","±1.0","72,940","±2,223","27.9%","±0.8","32,505","±1,408","25.7%","±1.2","40,435","±1,560","30.0%","±1.0"
"    Hispanic or Latino Origin","288,079","±380","(X)","(X)","147,649","±260","(X)","(X)","140,430","±317","(X)","(X)","259,874","±735","(X)","(X)","133,885","±628","(X)","(X)","125,989","±571","(X)","(X)"
"        High school graduate or higher","221,632","±2,085","76.9%","±0.7","110,097","±1,531","74.6%","±1.0","111,535","±1,109","79.4%","±0.7","203,753","±1,963","78.4%","±0.8","101,599","±1,428","75.9%","±1.1","102,154","±1,312","81.1%","±1.0"
"        Bachelor's degree or higher","64,915","±2,055","22.5%","±0.7","30,678","±1,373","20.8%","±0.9","34,237","±1,302","24.4%","±0.9","57,626","±2,072","22.2%","±0.8","26,872","±1,317","20.1%","±1.0","30,754","±1,422","24.4%","±1.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","26.9%","±0.5","(X)","(X)","23.5%","±0.7","(X)","(X)","30.5%","±0.7","(X)","(X)","27.8%","±0.5","(X)","(X)","24.6%","±0.6","(X)","(X)","31.2%","±0.7"
"    High school graduate (includes equivalency)","(X)","(X)","14.5%","±0.2","(X)","(X)","12.4%","±0.3","(X)","(X)","16.6%","±0.3","(X)","(X)","13.5%","±0.2","(X)","(X)","11.3%","±0.2","(X)","(X)","15.8%","±0.3"
"    Some college or associate's degree","(X)","(X)","9.9%","±0.2","(X)","(X)","7.8%","±0.2","(X)","(X)","11.7%","±0.2","(X)","(X)","10.2%","±0.2","(X)","(X)","7.4%","±0.2","(X)","(X)","12.6%","±0.2"
"    Bachelor's degree or higher","(X)","(X)","4.0%","±0.1","(X)","(X)","3.6%","±0.2","(X)","(X)","4.4%","±0.1","(X)","(X)","4.0%","±0.1","(X)","(X)","3.7%","±0.2","(X)","(X)","4.2%","±0.2"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","46,449","±139","(X)","(X)","55,658","±248","(X)","(X)","38,027","±236","(X)","(X)","46,709","±135","(X)","(X)","55,184","±265","(X)","(X)","39,208","±190","(X)","(X)"
"        Less than high school graduate","28,213","±462","(X)","(X)","33,555","±557","(X)","(X)","21,421","±615","(X)","(X)","28,945","±440","(X)","(X)","34,609","±558","(X)","(X)","21,636","±522","(X)","(X)"
"        High school graduate (includes equivalency)","35,052","±214","(X)","(X)","42,140","±312","(X)","(X)","27,695","±241","(X)","(X)","36,811","±215","(X)","(X)","44,543","±329","(X)","(X)","28,911","±230","(X)","(X)"
"        Some college or associate's degree","41,716","±248","(X)","(X)","51,931","±455","(X)","(X)","34,173","±247","(X)","(X)","42,444","±244","(X)","(X)","52,189","±407","(X)","(X)","35,318","±229","(X)","(X)"
"        Bachelor's degree","62,935","±476","(X)","(X)","78,661","±588","(X)","(X)","51,163","±529","(X)","(X)","62,823","±365","(X)","(X)","76,690","±684","(X)","(X)","52,519","±520","(X)","(X)"
"        Graduate or professional degree","81,344","±570","(X)","(X)","101,647","±1,096","(X)","(X)","69,259","±688","(X)","(X)","79,829","±475","(X)","(X)","95,048","±750","(X)","(X)","71,028","±549","(X)","(X)"
