"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Male!!Estimate","Michigan!!Male!!Margin of Error","Michigan!!Percent Male!!Estimate","Michigan!!Percent Male!!Margin of Error","Michigan!!Female!!Estimate","Michigan!!Female!!Margin of Error","Michigan!!Percent Female!!Estimate","Michigan!!Percent Female!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Male!!Estimate","Ohio!!Male!!Margin of Error","Ohio!!Percent Male!!Estimate","Ohio!!Percent Male!!Margin of Error","Ohio!!Female!!Estimate","Ohio!!Female!!Margin of Error","Ohio!!Percent Female!!Estimate","Ohio!!Percent Female!!Margin of Error"
"    Population 65 years and over","1,575,233","±478","(X)","(X)","697,822","±335","(X)","(X)","877,411","±351","(X)","(X)","1,844,642","±815","(X)","(X)","801,525","±499","(X)","(X)","1,043,117","±594","(X)","(X)"
"        High school graduate or higher","1,351,561","±2,756","85.8%","±0.2","599,722","±1,950","85.9%","±0.3","751,839","±1,648","85.7%","±0.2","1,556,278","±3,103","84.4%","±0.2","678,126","±1,913","84.6%","±0.2","878,152","±2,146","84.2%","±0.2"
"        Bachelor's degree or higher","364,138","±3,104","23.1%","±0.2","194,929","±1,867","27.9%","±0.3","169,209","±2,105","19.3%","±0.2","382,282","±3,051","20.7%","±0.2","204,444","±2,232","25.5%","±0.3","177,838","±1,993","17.0%","±0.2"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","5,474,671","±1,880","(X)","(X)","2,663,599","±1,172","(X)","(X)","2,811,072","±1,195","(X)","(X)","6,663,270","±2,075","(X)","(X)","3,212,008","±1,497","(X)","(X)","3,451,262","±1,104","(X)","(X)"
"        High school graduate or higher","5,008,563","±4,847","91.5%","±0.1","2,420,567","±3,016","90.9%","±0.1","2,587,996","±2,875","92.1%","±0.1","6,045,629","±6,944","90.7%","±0.1","2,897,514","±3,965","90.2%","±0.1","3,148,115","±4,074","91.2%","±0.1"
"        Bachelor's degree or higher","1,583,207","±9,695","28.9%","±0.2","772,297","±5,224","29.0%","±0.2","810,910","±5,420","28.8%","±0.2","1,869,384","±11,871","28.1%","±0.2","900,229","±7,046","28.0%","±0.2","969,155","±6,535","28.1%","±0.2"
"    White alone, not Hispanic or Latino","5,312,527","±707","(X)","(X)","2,582,308","±538","(X)","(X)","2,730,219","±328","(X)","(X)","6,526,647","±947","(X)","(X)","3,143,325","±614","(X)","(X)","3,383,322","±467","(X)","(X)"
"        High school graduate or higher","4,888,577","±4,322","92.0%","±0.1","2,361,982","±2,749","91.5%","±0.1","2,526,595","±2,654","92.5%","±0.1","5,941,401","±6,476","91.0%","±0.1","2,846,665","±3,623","90.6%","±0.1","3,094,736","±3,912","91.5%","±0.1"
"        Bachelor's degree or higher","1,552,548","±9,305","29.2%","±0.2","758,112","±5,147","29.4%","±0.2","794,436","±5,206","29.1%","±0.2","1,841,342","±11,452","28.2%","±0.2","887,343","±6,803","28.2%","±0.2","953,999","±6,368","28.2%","±0.2"
"    Black alone","855,627","±1,470","(X)","(X)","388,915","±1,176","(X)","(X)","466,712","±995","(X)","(X)","884,019","±1,796","(X)","(X)","406,010","±1,200","(X)","(X)","478,009","±1,305","(X)","(X)"
"        High school graduate or higher","727,321","±2,681","85.0%","±0.3","321,824","±1,937","82.7%","±0.4","405,497","±1,907","86.9%","±0.3","749,826","±2,992","84.8%","±0.3","339,839","±1,809","83.7%","±0.4","409,987","±2,197","85.8%","±0.4"
"        Bachelor's degree or higher","145,228","±2,522","17.0%","±0.3","53,605","±1,527","13.8%","±0.4","91,623","±1,712","19.6%","±0.4","145,261","±2,702","16.4%","±0.3","60,502","±1,691","14.9%","±0.4","84,759","±1,879","17.7%","±0.4"
"    American Indian or Alaska Native alone","33,768","±900","(X)","(X)","16,576","±578","(X)","(X)","17,192","±626","(X)","(X)","15,279","±819","(X)","(X)","7,747","±553","(X)","(X)","7,532","±511","(X)","(X)"
"        High school graduate or higher","28,806","±760","85.3%","±0.9","14,049","±549","84.8%","±1.4","14,757","±540","85.8%","±1.2","12,451","±764","81.5%","±2.4","6,194","±545","80.0%","±3.4","6,257","±437","83.1%","±2.8"
"        Bachelor's degree or higher","4,801","±361","14.2%","±1.0","2,288","±266","13.8%","±1.5","2,513","±237","14.6%","±1.3","2,525","±330","16.5%","±2.0","1,107","±193","14.3%","±2.3","1,418","±248","18.8%","±3.1"
"    Asian alone","186,277","±1,115","(X)","(X)","88,999","±730","(X)","(X)","97,278","±642","(X)","(X)","157,691","±1,033","(X)","(X)","73,839","±717","(X)","(X)","83,852","±678","(X)","(X)"
"        High school graduate or higher","166,112","±1,493","89.2%","±0.6","81,213","±919","91.3%","±0.7","84,899","±865","87.3%","±0.7","137,993","±1,446","87.5%","±0.7","66,002","±952","89.4%","±0.8","71,991","±851","85.9%","±0.9"
"        Bachelor's degree or higher","118,012","±1,721","63.4%","±0.8","61,393","±1,059","69.0%","±1.0","56,619","±1,061","58.2%","±1.0","96,492","±1,814","61.2%","±1.1","49,379","±1,231","66.9%","±1.5","47,113","±1,058","56.2%","±1.3"
"    Native Hawaiian and Other Pacific Islander alone","1,839","±260","(X)","(X)","880","±199","(X)","(X)","959","±191","(X)","(X)","2,199","±222","(X)","(X)","903","±180","(X)","(X)","1,296","±141","(X)","(X)"
"        High school graduate or higher","1,543","±263","83.9%","±6.1","760","±202","86.4%","±9.4","783","±174","81.6%","±6.9","1,774","±212","80.7%","±5.7","729","±153","80.7%","±9.4","1,045","±144","80.6%","±6.5"
"        Bachelor's degree or higher","526","±221","28.6%","±9.7","309","±182","35.1%","±15.9","217","±110","22.6%","±9.9","605","±164","27.5%","±7.0","206","±86","22.8%","±7.6","399","±147","30.8%","±10.7"
"    Some other race alone","62,978","±1,944","(X)","(X)","32,793","±1,215","(X)","(X)","30,185","±1,173","(X)","(X)","57,337","±1,959","(X)","(X)","31,763","±1,396","(X)","(X)","25,574","±962","(X)","(X)"
"        High school graduate or higher","39,824","±1,603","63.2%","±1.6","20,057","±1,061","61.2%","±2.1","19,767","±974","65.5%","±1.8","39,941","±1,672","69.7%","±1.7","21,370","±1,232","67.3%","±2.1","18,571","±927","72.6%","±2.1"
"        Bachelor's degree or higher","8,978","±739","14.3%","±1.1","4,387","±465","13.4%","±1.3","4,591","±453","15.2%","±1.3","7,754","±767","13.5%","±1.3","3,711","±439","11.7%","±1.3","4,043","±489","15.8%","±1.8"
"    Two or more races","104,812","±1,939","(X)","(X)","49,771","±1,385","(X)","(X)","55,041","±1,156","(X)","(X)","108,355","±2,551","(X)","(X)","52,731","±1,725","(X)","(X)","55,624","±1,427","(X)","(X)"
"        High school graduate or higher","91,120","±1,844","86.9%","±0.8","42,884","±1,261","86.2%","±1.0","48,236","±1,156","87.6%","±1.1","94,893","±2,369","87.6%","±0.7","45,804","±1,595","86.9%","±0.9","49,089","±1,364","88.3%","±1.0"
"        Bachelor's degree or higher","26,289","±1,126","25.1%","±1.0","11,693","±703","23.5%","±1.4","14,596","±762","26.5%","±1.3","26,606","±1,199","24.6%","±0.9","12,380","±776","23.5%","±1.2","14,226","±755","25.6%","±1.2"
"    Hispanic or Latino Origin","242,648","±405","(X)","(X)","122,862","±300","(X)","(X)","119,786","±302","(X)","(X)","212,028","±523","(X)","(X)","109,094","±496","(X)","(X)","102,934","±450","(X)","(X)"
"        High school graduate or higher","173,130","±1,573","71.4%","±0.6","85,155","±1,168","69.3%","±0.9","87,975","±875","73.4%","±0.7","157,814","±2,012","74.4%","±0.9","78,412","±1,401","71.9%","±1.3","79,402","±1,124","77.1%","±1.0"
"        Bachelor's degree or higher","41,378","±1,251","17.1%","±0.5","19,199","±793","15.6%","±0.6","22,179","±927","18.5%","±0.8","38,444","±1,512","18.1%","±0.7","17,415","±984","16.0%","±0.9","21,029","±912","20.4%","±0.9"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","28.9%","±0.4","(X)","(X)","25.7%","±0.5","(X)","(X)","32.3%","±0.6","(X)","(X)","28.2%","±0.4","(X)","(X)","24.9%","±0.5","(X)","(X)","31.5%","±0.5"
"    High school graduate (includes equivalency)","(X)","(X)","14.8%","±0.2","(X)","(X)","13.2%","±0.2","(X)","(X)","16.3%","±0.2","(X)","(X)","13.4%","±0.2","(X)","(X)","11.5%","±0.2","(X)","(X)","15.2%","±0.2"
"    Some college or associate's degree","(X)","(X)","11.0%","±0.1","(X)","(X)","8.7%","±0.2","(X)","(X)","12.9%","±0.2","(X)","(X)","11.0%","±0.2","(X)","(X)","8.5%","±0.2","(X)","(X)","13.1%","±0.2"
"    Bachelor's degree or higher","(X)","(X)","4.5%","±0.1","(X)","(X)","4.1%","±0.1","(X)","(X)","4.8%","±0.1","(X)","(X)","3.9%","±0.1","(X)","(X)","3.5%","±0.1","(X)","(X)","4.2%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","36,396","±113","(X)","(X)","44,406","±278","(X)","(X)","29,739","±170","(X)","(X)","36,831","±102","(X)","(X)","44,036","±228","(X)","(X)","30,609","±89","(X)","(X)"
"        Less than high school graduate","20,396","±229","(X)","(X)","24,451","±483","(X)","(X)","14,732","±410","(X)","(X)","20,931","±252","(X)","(X)","25,516","±355","(X)","(X)","15,373","±331","(X)","(X)"
"        High school graduate (includes equivalency)","27,926","±214","(X)","(X)","34,241","±405","(X)","(X)","21,622","±181","(X)","(X)","29,954","±161","(X)","(X)","36,352","±168","(X)","(X)","22,627","±181","(X)","(X)"
"        Some college or associate's degree","32,815","±228","(X)","(X)","41,951","±187","(X)","(X)","26,775","±149","(X)","(X)","34,096","±199","(X)","(X)","41,978","±182","(X)","(X)","28,340","±240","(X)","(X)"
"        Bachelor's degree","50,810","±189","(X)","(X)","63,368","±505","(X)","(X)","40,841","±235","(X)","(X)","51,083","±210","(X)","(X)","62,462","±376","(X)","(X)","41,887","±222","(X)","(X)"
"        Graduate or professional degree","69,110","±513","(X)","(X)","84,800","±660","(X)","(X)","58,529","±647","(X)","(X)","65,351","±348","(X)","(X)","79,924","±798","(X)","(X)","56,940","±403","(X)","(X)"
