"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Michigan!!Males!!Estimate","Michigan!!Males!!Margin of Error","Michigan!!Percent Males!!Estimate","Michigan!!Percent Males!!Margin of Error","Michigan!!Females!!Estimate","Michigan!!Females!!Margin of Error","Michigan!!Percent Females!!Estimate","Michigan!!Percent Females!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","Ohio!!Males!!Estimate","Ohio!!Males!!Margin of Error","Ohio!!Percent Males!!Estimate","Ohio!!Percent Males!!Margin of Error","Ohio!!Females!!Estimate","Ohio!!Females!!Margin of Error","Ohio!!Percent Females!!Estimate","Ohio!!Percent Females!!Margin of Error"
"Asian alone","170,074","±1,066","(X)","(X)","80,168","±717","(X)","(X)","89,906","±625","(X)","(X)","143,541","±949","(X)","(X)","67,525","±664","(X)","(X)","76,016","±584","(X)","(X)"
"    High school graduate or higher","150,643","±1,308","88.6%","±0.5","72,916","±786","91.0%","±0.7","77,727","±877","86.5%","±0.6","126,106","±1,174","87.9%","±0.7","60,885","±765","90.2%","±0.9","65,221","±808","85.8%","±0.8"
"    Bachelor's degree or higher","106,803","±1,545","62.8%","±0.8","54,753","±986","68.3%","±1.1","52,050","±987","57.9%","±1.0","90,020","±1,586","62.7%","±1.1","46,555","±872","68.9%","±1.2","43,465","±1,018","57.2%","±1.3"
"Native Hawaiian and Other Pacific Islander alone","1,295","±221","(X)","(X)","692","±186","(X)","(X)","603","±150","(X)","(X)","1,973","±309","(X)","(X)","888","±219","(X)","(X)","1,085","±217","(X)","(X)"
"    High school graduate or higher","1,097","±209","84.7%","±6.2","560","±181","80.9%","±11.2","537","±141","89.1%","±6.1","1,680","±294","85.1%","±5.4","802","±214","90.3%","±6.3","878","±212","80.9%","±8.3"
"    Bachelor's degree or higher","395","±162","30.5%","±9.5","238","±140","34.4%","±13.9","157","±96","26.0%","±13.4","384","±131","19.5%","±6.4","132","±70","14.9%","±8.3","252","±108","23.2%","±9.0"
"Some other race alone","59,705","±1,868","(X)","(X)","31,203","±1,076","(X)","(X)","28,502","±1,095","(X)","(X)","53,379","±1,855","(X)","(X)","29,419","±1,221","(X)","(X)","23,960","±954","(X)","(X)"
"    High school graduate or higher","37,471","±1,695","62.8%","±1.8","19,339","±1,047","62.0%","±2.2","18,132","±988","63.6%","±2.3","36,627","±1,433","68.6%","±1.6","19,696","±1,033","66.9%","±2.4","16,931","±784","70.7%","±1.8"
"    Bachelor's degree or higher","7,822","±678","13.1%","±1.0","3,850","±429","12.3%","±1.2","3,972","±456","13.9%","±1.5","7,068","±653","13.2%","±1.0","3,444","±497","11.7%","±1.5","3,624","±372","15.1%","±1.5"
"Two or more races","95,913","±1,917","(X)","(X)","45,152","±1,131","(X)","(X)","50,761","±1,322","(X)","(X)","97,196","±2,222","(X)","(X)","46,594","±1,506","(X)","(X)","50,602","±1,304","(X)","(X)"
"    High school graduate or higher","82,577","±1,731","86.1%","±0.8","38,272","±1,061","84.8%","±1.2","44,305","±1,268","87.3%","±0.9","83,718","±2,020","86.1%","±0.7","39,676","±1,384","85.2%","±1.0","44,042","±1,235","87.0%","±1.0"
"    Bachelor's degree or higher","23,194","±1,004","24.2%","±0.9","9,927","±552","22.0%","±1.0","13,267","±750","26.1%","±1.3","22,852","±955","23.5%","±0.9","10,612","±668","22.8%","±1.3","12,240","±675","24.2%","±1.2"
"Hispanic or Latino Origin","230,460","±356","(X)","(X)","116,570","±308","(X)","(X)","113,890","±232","(X)","(X)","197,682","±632","(X)","(X)","101,802","±516","(X)","(X)","95,880","±450","(X)","(X)"
"    High school graduate or higher","160,965","±1,836","69.8%","±0.8","79,312","±1,192","68.0%","±1.0","81,653","±1,030","71.7%","±0.9","144,403","±1,771","73.0%","±0.9","71,697","±1,173","70.4%","±1.2","72,706","±1,077","75.8%","±1.0"
"    Bachelor's degree or higher","37,814","±1,234","16.4%","±0.5","17,703","±903","15.2%","±0.8","20,111","±746","17.7%","±0.6","33,880","±1,377","17.1%","±0.7","15,433","±756","15.2%","±0.7","18,447","±972","19.2%","±1.0"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","29.6%","±0.4","(X)","(X)","26.4%","±0.5","(X)","(X)","33.0%","±0.5","(X)","(X)","29.0%","±0.3","(X)","(X)","25.8%","±0.5","(X)","(X)","32.2%","±0.5"
"    High school graduate (includes equivalency)","(X)","(X)","15.2%","±0.2","(X)","(X)","13.8%","±0.2","(X)","(X)","16.4%","±0.2","(X)","(X)","13.4%","±0.1","(X)","(X)","11.6%","±0.2","(X)","(X)","15.1%","±0.2"
"    Some college or associate's degree","(X)","(X)","11.7%","±0.2","(X)","(X)","9.3%","±0.2","(X)","(X)","13.8%","±0.2","(X)","(X)","11.3%","±0.2","(X)","(X)","8.7%","±0.2","(X)","(X)","13.6%","±0.2"
"    Bachelor's degree or higher","(X)","(X)","4.5%","±0.1","(X)","(X)","4.1%","±0.1","(X)","(X)","5.0%","±0.1","(X)","(X)","4.0%","±0.1","(X)","(X)","3.7%","±0.1","(X)","(X)","4.3%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","34,374","±198","(X)","(X)","41,957","±144","(X)","(X)","27,463","±119","(X)","(X)","35,188","±123","(X)","(X)","41,835","±116","(X)","(X)","29,003","±166","(X)","(X)"
"        Less than high school graduate","18,714","±306","(X)","(X)","22,227","±282","(X)","(X)","13,971","±361","(X)","(X)","19,702","±306","(X)","(X)","23,559","±461","(X)","(X)","14,774","±360","(X)","(X)"
"        High school graduate (includes equivalency)","26,347","±116","(X)","(X)","32,067","±138","(X)","(X)","20,588","±149","(X)","(X)","28,203","±166","(X)","(X)","34,957","±237","(X)","(X)","21,822","±115","(X)","(X)"
"        Some college or associate's degree","31,460","±112","(X)","(X)","40,754","±180","(X)","(X)","25,426","±174","(X)","(X)","32,366","±120","(X)","(X)","40,715","±185","(X)","(X)","27,163","±142","(X)","(X)"
"        Bachelor's degree","48,622","±401","(X)","(X)","61,377","±313","(X)","(X)","39,162","±388","(X)","(X)","49,281","±318","(X)","(X)","60,509","±307","(X)","(X)","40,346","±207","(X)","(X)"
"        Graduate or professional degree","66,721","±463","(X)","(X)","81,446","±604","(X)","(X)","56,663","±556","(X)","(X)","63,181","±487","(X)","(X)","76,941","±586","(X)","(X)","55,153","±459","(X)","(X)"
